Expt,Source,TC,Pkb,Titanite,Rutile,SiO2,Al2O3,Na2O,K2O,CaO,FeO,MgO,TiO2
HL240-5000,LEPR,1150,0.001,Y,N,63.01,15.55,9.67,1.42,5.95,0,0,3.83
ND-002-18,LEPR,752,1.519999951,Y,N,76.80999756,11.82999992,4.570000172,4.78000021,0.310000002,1.309999943,0.039999999,0.07
ND-002-20,LEPR,752,1.519999951,Y,N,76.76000214,11.53999996,4.360000134,4.840000153,0.280000001,1.49000001,0.039999999,0.039999999
RHY ,LEPR,1150,0.001,Y,N,67.22,13.81,5.58,4.57,5.6,0,0,2.1
SH2K,LEPR,1150,0.001,Y,N,58.95,7.05,0.59,14.42,9.93,0,0,6.6
SH2Na,LEPR,1150,0.001,Y,N,61.26,7.59,11.11,0.49,10.39,0,0,7.38
SpD_1,Dissolution,1300,6,Y,?,67.91,11.09,2.26,3.97,2.28,1.21,0.13,11.03
SpD_10,Dissolution,1100,8,Y,?,76,12.89,2.33,4.22,2.07,0.02,0.07,2.4
SpD_11,Dissolution,1100,8,Y,?,75.39,12.66,2.31,4.43,2.45,0.01,0.07,2.65
SpD_12,Dissolution,1200,8,Y,?,73.85,12.05,3.71,4.42,1.92,0.99,0.08,3.74
SpD_13,Dissolution,1200,8,Y,?,74.81,12.41,3.54,4.65,1.77,0.02,0.08,3.25
SpD_15,Dissolution,1200,8,Y,?,69.92,11.69,4.96,3.89,4.18,0.01,0.07,5.25
SpD_16,Dissolution,1000,8,Y,?,76.37,13.08,2.27,4.26,2.41,0.02,0.08,1.4
SpD_17,Dissolution,1000,8,Y,?,76.2,13.27,4.56,3.96,0.98,0.01,0.07,0.9
SpD_18,Dissolution,925,8,Y,?,77.67,13.59,2.51,4.69,0.72,0.02,0.07,0.55
SpD_2,Dissolution,1300,8,Y,?,71.08,10.85,1.91,3.45,4.82,0.09,0.1,7.67
SpD_21,Dissolution,1000,8,Y,?,76.33,12.83,3.33,4.8,1.14,0.02,0.07,1.48
SpD_3,Dissolution,1300,8,Y,?,62.32,9.31,2.63,3.11,9.39,0.03,0.1,13.52
SpD_4,Dissolution,1300,8,Y,?,74.44,12.56,2.79,4.42,2.83,0.02,0.06,2.83
SpD_7,Dissolution,1100,8,Y,?,76.1,12.79,3.44,4.55,1.05,0.74,0.07,1.31
SpG_10,Growth,1000,5,Y,N,72.8,13.09,2.65,5.29,2.76,0.02,0.33,3.03
SpG_11,Growth,800,5,Y,N,74.56,13.65,2.69,6.98,1.15,0.04,0.34,0.54
SpG_12,Growth,800,5,Y,N,71.82,14.7,3.71,5.03,2.55,0.03,0.67,1.29
SpG_15,Growth,800,5,Y,N,73.44,15.44,3.1,4.46,2.15,0.51,0.25,0.32
SpG_16,Growth,800,5,Y,N,70.45,17.35,4.13,3.64,2.64,0.72,0.38,0.33
SpG_17,Growth,900,5,Y,N,68.66,15.8,2.93,5.55,3.68,0.05,1.01,2.04
SpG_18,Growth,900,5,Y,Y,65.53,16.95,3.67,4.37,5.24,0.05,1.43,2.36
SpG_19,Growth,1000,5,Y,Y,67.47,15.2,2.82,5.44,4.6,0.03,0.96,3.19
SpG_20,Growth,1000,5,Y,Y,64.22,16.45,3.55,4.26,6.05,0.03,1.39,3.64
SpG_23,Growth,900,5,Y,N,72.47,14.8,2.47,5.01,2.72,0.02,0.69,1.67
SpG_28,Growth,900,5,Y,Y,63.62,16.09,3.37,4.23,6.58,0.02,1.34,4.35
SpG_29,Growth,1000,5,Y,N,66.21,15.81,3.14,5.29,3.61,3.19,0.82,1.66
SpG_30,Growth,1000,5,Y,N,65.52,16.62,3.66,4.81,3.78,3.31,0.51,1.32
SpG_32,Growth,900,5,Y,Y,69.56,16,2.9,5.95,2.75,0.69,0.88,1.02
SpG_33,Growth,1000,10,Y,Y,68.29,15.62,2.98,5.53,4.06,0.04,1,2.21
SpG_34,Growth,1000,10,Y,N,65.51,16.78,3.57,4.44,5.34,0.06,1.41,2.49
SpG_7,Growth,900,5,Y,N,73.94,13.49,2.5,6.99,1.28,0.62,0.29,0.8
SpG_8,Growth,900,5,Y,N,71.32,14.36,2.73,6,2.34,1.29,0.62,1.13
SpG13,Growth,1100,5,N,N,70.574,12.574,3.968,5.212,3.407,0.022,0.311,3.629
SpG14,Growth,1100,5,N,N,69.8,13.877,2.41,4.622,4.357,0.015,0.628,4.115
SpG21,Growth,1100,5,N,N,66.416,14.94,2.718,5.275,5.041,0.019,0.963,4.281
SpG22,Growth,1100,5,N,N,63.361,16.103,3.453,4.141,6.525,0.015,1.362,4.601
SpG24,Growth,900,5,N,N,73.275,13.422,2.437,6.651,1.922,0.319,0.213,1.73
SpG27,Growth,900,5,N,Y,65.774,15.091,3.117,5.109,5.031,0.027,0.941,4.463
SpG31,Growth,900,5,N,N,68.418,17.771,2.594,5.986,2.098,0.803,0.319,1.926
